LGA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
LGA15520,0,0,0,0,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,7,0,0,0,13,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,12,0,0,0,0,0,5,9,9,0,36,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,4,8,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,3,3,22,4,3,38,0,7,7,22,23,16,10,5,0,90,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,3
LGA15560,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,0,0,0,3,0,0,4,3,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,4,0,8,10,4,0,0,0,31,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA15650,0,0,0,0,0,4,0,0,0,4,0,0,3,4,0,4,0,0,0,12,5,8,3,42,10,10,5,0,0,82,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,3,20,6,4,3,0,3,53,0,0,0,0,0,0,3,3,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,9,0,0,0,11,4,0,0,0,0,19,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,11,8,3,0,27,0,13,18,79,51,39,10,6,0,218,0,0,0,0,3,0,0,3,0,9,0,0,0,3,0,0,0,0,0,3
LGA15700,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,4,0,0,0,4,7,0,0,13,0,3,6,0,0,24,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,3,0,6,0,0,34,0,0,0,0,5,4,13,3,0,27,0,0,0,0,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,7,0,0,0,0,8,6,0,0,0,15,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,11,30,12,5,60,0,0,6,42,53,75,41,16,9,245,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0
LGA15750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,5,0,5,7,5,0,25,0,3,3,26,21,21,15,0,0,86,0,0,0,0,0,0,3,0,0,8,0,0,0,8,0,0,0,0,0,8
LGA15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,14,0,4,4,9,4,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
LGA15850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,8,6,12,3,0,0,25,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
LGA15900,0,0,7,15,21,49,96,136,50,370,4,10,100,72,17,47,15,5,3,279,28,114,131,671,97,44,49,17,3,1156,0,6,19,66,19,12,8,4,0,133,3,14,19,180,16,3,3,0,0,241,16,25,9,46,14,0,3,0,0,109,6,32,10,109,59,34,31,17,9,300,0,0,7,35,36,93,122,236,123,651,0,17,31,35,14,9,6,3,0,122,4,30,82,205,60,11,8,3,0,397,0,3,3,8,10,3,3,0,0,33,3,14,106,177,42,47,33,14,0,428,0,0,0,4,3,8,12,8,3,47,0,0,12,15,4,3,8,6,0,52,0,0,18,17,0,3,0,0,0,40,0,8,20,64,5,0,0,0,0,101,0,7,3,28,18,25,77,28,28,227,7,69,186,552,334,290,112,59,12,1624,0,0,4,29,8,13,18,13,4,90,6,28,44,147,13,0,8,0,0,250
LGA15950,0,0,0,13,5,11,18,17,4,75,13,35,75,407,133,179,98,21,4,958,35,63,36,966,73,70,47,33,3,1328,0,3,24,118,18,22,23,10,4,223,0,0,5,250,35,34,22,10,3,366,0,0,3,7,4,3,0,4,3,33,0,3,9,273,77,48,30,15,3,462,0,6,12,185,43,32,50,29,11,363,21,78,58,521,208,91,50,9,0,1027,4,7,40,271,51,34,26,4,4,444,0,0,3,12,19,14,12,0,3,62,5,3,25,280,87,72,67,20,3,559,0,0,0,0,3,11,12,5,0,29,0,0,0,35,9,12,0,0,0,64,0,0,3,6,6,9,0,0,0,26,3,9,62,223,3,3,0,0,0,309,4,8,8,78,20,21,36,20,5,201,11,55,112,875,354,329,205,66,21,2024,0,0,0,51,15,11,14,6,0,92,3,6,6,60,4,7,0,0,0,87
LGA15990,0,5,3,33,29,48,94,69,30,313,18,95,94,236,140,197,100,47,10,943,41,126,190,904,222,156,113,60,19,1826,9,16,60,192,95,89,51,24,14,556,0,10,20,274,140,123,91,52,23,737,0,4,6,25,19,15,9,12,0,79,13,94,31,537,302,158,106,82,40,1369,3,36,41,306,228,403,586,459,203,2266,11,61,77,307,228,94,59,15,8,858,8,19,71,379,117,106,60,14,0,780,0,0,0,60,70,52,41,19,3,245,5,15,35,153,129,116,102,30,8,607,0,4,0,10,17,22,30,21,9,114,0,0,0,17,19,13,12,3,0,70,0,0,0,6,8,6,3,0,4,36,3,7,114,434,6,10,3,0,0,579,15,51,48,218,183,129,241,201,123,1200,37,234,392,2211,1271,1037,528,204,109,6027,0,0,11,101,79,41,57,35,11,340,0,0,6,35,14,8,7,0,0,75
LGA16100,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,3,0,0,0,10,0,0,0,0,0,0,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,11,0,4,12,28,14,16,10,4,0,93,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA16150,0,0,0,5,3,4,15,11,0,40,0,0,0,10,4,14,4,0,0,33,8,32,23,260,20,13,15,3,0,377,0,0,0,10,3,0,0,0,0,19,0,0,3,15,4,3,0,0,0,24,0,0,0,8,0,0,0,0,0,11,0,5,0,12,3,0,12,4,0,45,0,0,0,9,11,19,26,30,10,101,0,0,0,10,6,3,0,0,0,12,0,0,7,52,4,3,0,0,0,62,0,0,0,0,0,3,0,0,0,5,0,0,3,10,10,7,3,0,0,34,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,0,0,3,0,9,0,6,11,82,11,0,0,0,0,105,0,0,3,5,3,15,36,12,11,84,10,22,32,105,71,74,41,20,0,368,0,4,0,0,0,0,9,3,0,13,0,6,3,25,0,4,0,0,0,37
LGA16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,9,4,0,0,0,35,4,3,0,15,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,4,0,19,0,4,0,3,3,3,4,0,0,16,0,0,4,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0,3,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,9,9,4,5,31,0,5,8,27,15,16,7,0,0,86,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,0,0,0,9
LGA16260,3,3,3,36,37,76,146,168,42,511,43,133,447,1718,815,1300,396,93,24,4983,1104,1786,1936,16303,1373,938,410,128,54,24037,11,45,124,715,208,173,95,38,14,1421,19,143,218,1591,401,280,152,61,17,2882,10,30,46,251,140,54,12,15,7,572,3,29,10,192,68,50,43,45,24,470,3,17,16,134,113,175,220,210,74,968,6,38,58,194,96,32,23,9,4,463,80,547,932,3914,1689,1036,460,192,37,8882,8,26,75,597,658,593,461,207,60,2688,15,114,185,879,339,382,275,88,20,2299,0,0,3,11,16,55,141,63,26,319,3,7,16,71,39,39,33,17,13,231,0,4,19,140,79,80,42,17,9,392,0,37,179,881,61,22,9,4,0,1202,0,7,13,43,22,28,75,65,29,294,49,311,465,1102,505,424,222,74,24,3166,0,3,3,33,19,18,33,16,5,134,62,171,187,926,109,59,21,8,0,1559
LGA16350,0,0,19,20,36,82,135,115,22,438,0,7,18,61,33,36,11,5,0,173,46,210,275,2073,443,337,231,121,30,3763,4,11,20,138,51,42,34,8,0,309,0,17,23,170,68,43,40,16,0,376,3,9,58,194,94,64,35,12,3,470,5,42,11,142,72,122,143,57,14,614,3,4,4,49,99,214,274,187,69,902,3,3,7,31,11,3,6,0,0,65,5,17,39,132,68,28,28,6,3,320,0,12,26,232,170,157,75,36,6,717,4,18,17,106,59,86,49,14,3,353,0,0,10,71,113,338,486,217,27,1263,0,3,9,50,46,58,50,12,4,237,0,4,3,33,10,17,5,5,0,82,7,20,47,194,28,29,3,4,0,333,0,5,3,32,43,141,180,92,43,535,50,324,588,1556,605,499,193,43,15,3867,0,3,0,44,62,76,96,29,7,321,18,57,94,310,85,64,24,6,4,663
LGA16380,0,3,0,0,4,0,9,5,0,24,0,0,0,15,9,8,3,4,0,40,7,18,3,132,12,13,26,16,3,235,0,3,0,13,3,3,11,7,3,39,0,0,0,10,0,0,3,3,0,13,0,0,0,3,0,0,0,0,0,6,4,8,4,49,27,30,44,16,6,187,0,0,3,7,11,20,42,23,12,118,0,9,3,11,7,5,3,0,4,46,0,3,4,30,3,0,0,0,0,42,0,0,0,4,3,3,3,0,0,16,0,0,3,21,15,20,4,0,0,61,0,0,0,0,6,14,38,14,6,74,0,0,0,3,3,0,0,5,0,6,0,0,0,3,0,0,0,0,0,4,0,3,0,19,0,3,0,0,0,20,0,0,0,12,18,34,116,73,35,298,4,32,34,229,206,203,214,113,27,1061,0,3,0,9,13,8,19,26,4,83,0,0,0,8,0,0,0,0,0,9
LGA16400,0,0,0,0,8,11,15,15,3,59,0,3,0,12,11,6,0,3,0,42,0,0,10,48,7,9,6,13,0,93,0,0,0,12,3,3,5,3,0,29,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,3,0,3,0,11,0,11,3,23,21,13,18,13,3,107,0,0,3,5,11,20,51,26,9,123,0,4,0,15,3,4,3,3,0,30,3,7,10,20,11,0,0,0,0,47,0,0,0,0,5,3,0,3,0,11,0,4,0,57,27,23,16,3,0,127,0,0,0,3,7,19,42,14,0,80,0,0,0,6,8,14,9,5,3,50,0,0,0,0,0,0,0,0,0,3,0,8,3,9,0,0,0,0,0,20,0,3,0,11,20,24,104,55,17,232,8,33,38,208,177,178,166,56,10,877,0,0,0,4,7,11,17,5,4,56,0,0,0,12,0,0,3,0,0,16
LGA16490,0,0,0,6,10,23,42,35,15,135,0,0,0,15,6,12,7,0,0,43,25,64,62,589,47,29,16,9,0,848,7,5,5,37,17,7,4,3,0,85,0,0,0,24,6,3,3,0,0,36,0,3,0,12,0,3,0,0,0,21,3,5,0,34,14,20,21,4,4,104,0,0,3,17,30,84,107,113,48,396,0,4,0,10,7,3,0,0,0,28,0,4,11,23,10,3,0,0,0,50,0,0,0,13,4,3,3,0,0,26,0,3,12,34,35,22,10,0,0,118,0,0,0,0,3,16,45,14,3,80,0,3,0,9,0,5,0,0,0,12,0,0,0,11,4,5,0,0,0,28,0,5,16,104,6,0,0,0,0,134,0,10,3,11,10,22,42,12,7,116,4,38,78,255,166,156,65,21,3,784,0,0,4,7,7,9,8,0,0,38,3,0,9,67,3,5,0,0,0,98
LGA16550,4,11,8,54,58,160,349,591,229,1459,24,38,566,468,216,244,125,40,6,1728,20,47,274,647,125,96,107,58,19,1392,21,55,512,1026,329,245,141,63,22,2419,0,6,21,312,38,38,12,10,3,445,0,3,19,84,56,48,37,16,3,259,9,36,113,2199,214,89,85,40,19,2806,3,33,45,308,68,100,199,226,103,1079,5,26,47,199,101,45,17,7,0,443,7,24,96,310,61,46,23,11,3,584,0,3,13,64,83,77,46,46,25,366,0,14,617,517,191,255,203,72,17,1885,0,3,0,3,5,39,109,70,30,264,0,0,4,47,25,27,19,7,0,120,0,0,61,20,6,7,0,7,0,107,4,5,17,108,6,0,0,0,0,146,3,15,28,112,31,23,37,28,17,295,19,80,200,1159,523,413,211,82,14,2692,0,0,23,125,35,19,36,17,7,264,3,4,51,119,11,9,6,0,0,211
LGA16610,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,11,3,0,30,0,0,0,0,0,4,8,9,6,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,13,0,0,0,0,0,3,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,17,9,4,48,0,12,9,41,36,64,37,13,6,218,0,0,0,0,0,3,0,0,0,8,0,3,3,0,3,0,0,0,0,10
LGA16650,13,67,68,200,219,448,887,977,245,3117,3,17,74,439,134,258,111,31,10,1073,75,74,91,1251,135,87,63,29,21,1826,3,22,137,565,139,113,60,25,11,1073,0,10,18,125,28,24,17,5,0,228,0,3,11,60,36,14,5,3,0,134,0,12,19,167,57,27,32,21,11,343,0,3,27,115,71,136,260,380,164,1170,4,3,31,189,77,23,9,7,3,341,3,9,38,195,50,33,9,7,0,342,7,58,110,867,754,512,279,106,30,2716,0,8,34,272,82,97,73,29,3,604,0,0,0,12,23,64,110,70,42,314,0,0,0,35,19,18,16,11,3,100,0,0,7,20,9,8,8,4,0,63,16,83,925,2702,71,29,10,0,0,3830,0,0,3,25,11,7,23,14,11,93,17,95,203,646,325,276,102,23,10,1706,0,4,3,30,7,4,7,6,0,64,0,16,31,140,30,22,3,0,0,245
LGA16700,0,11,9,22,24,61,114,120,38,391,18,47,235,1065,398,683,277,75,22,2823,129,178,347,2683,317,245,128,80,24,4128,3,32,199,596,162,114,71,38,15,1232,8,35,60,753,193,212,150,75,41,1515,8,18,10,58,41,23,18,23,0,191,7,13,11,134,77,42,34,23,10,346,6,16,25,135,125,235,436,442,220,1647,10,43,62,249,116,53,31,10,3,577,44,189,602,2222,677,464,240,88,18,4545,3,15,5,142,157,186,159,109,25,796,14,35,137,601,202,221,189,74,17,1481,0,0,0,6,11,22,53,36,9,134,0,0,23,25,19,19,16,7,4,115,0,0,28,67,27,24,25,7,7,183,6,6,76,362,10,0,0,0,0,460,0,3,4,27,24,16,30,28,15,143,19,84,152,469,289,240,128,42,20,1447,0,0,0,10,15,9,4,5,3,49,16,23,55,248,25,21,8,3,0,402
LGA16900,0,0,0,8,10,24,22,29,10,105,0,0,0,10,3,5,3,3,0,29,5,6,13,95,13,20,13,4,3,176,0,3,6,15,3,3,5,0,0,38,0,0,0,13,6,0,4,0,0,26,0,3,3,3,5,0,3,0,0,22,0,7,5,23,13,21,18,32,6,129,0,0,0,8,60,92,104,103,40,412,0,8,0,9,8,0,0,0,0,29,0,5,6,21,4,0,0,3,0,49,0,0,0,8,5,24,8,3,5,53,0,0,8,25,8,7,4,0,0,51,0,0,0,8,17,78,110,35,15,262,0,0,0,3,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,8,6,40,108,66,34,264,7,25,42,204,130,125,60,13,7,606,0,0,0,3,11,10,12,13,3,54,0,3,4,19,9,4,4,0,0,47
LGA16950,0,0,0,7,7,21,55,49,11,151,0,0,3,12,6,13,9,4,0,49,4,21,14,157,16,20,28,13,10,278,0,3,5,34,9,7,7,8,3,73,0,0,0,6,3,0,3,0,0,13,0,0,3,11,3,3,4,0,0,28,0,3,0,30,30,28,45,30,8,176,0,0,7,10,32,47,104,85,18,299,0,10,0,18,9,9,4,3,0,48,0,7,10,29,5,3,0,3,0,44,0,3,0,8,11,9,8,0,3,43,0,3,9,21,13,13,8,8,0,71,0,0,0,3,11,42,96,53,9,216,0,0,0,0,6,12,17,3,0,44,0,0,0,4,0,0,3,0,0,8,0,0,3,28,4,0,0,0,0,37,0,8,3,14,15,76,166,101,29,404,3,50,53,264,216,256,243,88,22,1196,0,0,0,8,15,9,48,17,3,98,3,5,0,9,0,4,3,0,0,20
LGA17000,0,0,0,0,0,4,0,0,0,8,0,0,3,8,6,4,0,0,0,18,0,3,3,29,0,3,0,0,0,43,0,0,3,5,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,6,8,3,0,38,0,0,0,0,0,4,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,6,0,0,3,6,3,4,0,0,0,19,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,6,19,4,3,50,0,30,44,112,130,63,38,15,3,429,0,0,0,7,0,0,3,0,0,9,0,0,0,4,0,0,0,0,0,11
LGA17040,0,0,0,0,3,5,8,7,0,20,0,0,3,13,3,4,0,0,0,31,0,0,0,8,7,0,10,4,0,32,0,5,3,3,3,4,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,8,8,0,10,9,0,38,0,0,0,6,4,8,27,23,9,84,0,0,3,4,0,0,0,0,0,17,0,0,0,16,10,0,0,0,0,20,0,0,0,0,3,6,11,4,0,24,0,0,0,7,3,7,0,0,0,20,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,29,18,5,83,3,4,9,77,72,47,37,5,0,269,0,0,0,4,0,4,10,0,0,17,0,3,0,3,0,0,0,0,0,8
LGA17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,6,0,25,3,3,0,0,0,33,0,0,0,0,4,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,3,3,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,8,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,19,8,5,42,0,7,19,66,40,35,18,7,3,189,0,0,0,0,0,0,3,0,0,4,0,0,0,7,0,0,0,0,0,9
