LGA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA15560,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,4,0,6,0,0,14,20,81,47,113,71,70,54,25,9,497,218,569,429,881,542,535,373,220,70,3836
LGA15650,0,0,0,3,0,0,0,0,0,5,0,21,7,49,21,7,4,0,0,108,0,0,0,0,0,3,0,0,0,3,0,0,0,4,5,6,6,4,0,31,0,0,0,0,0,0,0,0,0,5,0,9,10,10,14,4,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,3,0,7,3,3,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,7,9,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,3,9,0,0,0,23,0,0,0,6,0,3,0,0,0,14,0,0,0,0,4,3,5,0,0,12,0,0,8,10,8,3,0,0,0,30,0,16,8,49,22,14,8,6,4,123,74,136,112,306,189,178,129,73,23,1219,1242,2383,1959,4346,2267,1801,1265,617,203,16086
LGA15700,0,0,0,5,0,3,0,0,0,11,0,0,0,20,3,12,4,0,0,42,0,0,0,0,0,4,0,0,0,7,0,0,0,0,4,19,27,10,5,72,0,0,0,0,3,0,0,0,0,9,0,0,0,4,0,10,21,3,0,38,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,8,6,9,0,0,41,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,3,3,9,0,23,0,0,0,0,0,0,0,0,0,0,3,3,3,27,15,42,40,19,0,154,42,124,134,272,265,302,295,212,146,1800,917,2250,1775,3189,2449,3321,3015,1582,706,19212
LGA15750,0,0,0,3,0,0,0,0,0,4,0,3,5,21,8,9,3,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,3,3,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,3,0,0,0,18,0,0,0,0,0,0,3,0,0,3,0,0,0,4,4,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,6,7,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,7,0,0,0,5,0,0,0,0,0,9,0,0,4,5,9,6,3,4,0,34,113,156,168,353,227,228,168,133,82,1626,943,1845,1425,3018,1759,1785,1308,742,256,13084
LGA15800,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,9,4,3,0,0,0,22,37,76,56,149,97,117,107,47,27,720,378,777,621,1196,734,853,706,390,199,5853
LGA15850,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,17,31,61,63,129,103,147,95,62,25,727,455,924,700,1323,790,891,767,425,179,6444
LGA15900,0,4,12,44,27,20,7,0,0,108,15,60,79,314,149,127,50,20,0,812,0,3,3,50,26,43,42,49,51,268,0,21,8,104,69,106,111,74,42,544,3,12,71,42,21,13,6,4,0,173,3,17,72,170,75,61,10,19,0,435,0,0,0,4,35,41,35,42,12,165,4,18,26,109,37,16,8,4,0,225,3,3,33,124,6,3,0,0,0,170,9,21,54,128,42,18,0,0,0,266,0,0,9,36,112,186,168,128,25,662,0,0,0,14,10,6,3,0,0,41,16,51,94,243,83,58,33,10,3,592,11,37,55,179,52,44,8,3,6,391,0,7,6,27,30,30,24,13,12,152,0,10,55,72,7,16,0,0,0,161,68,233,372,1078,303,246,232,142,83,2756,258,467,870,2033,1004,1002,783,600,370,7389,9113,17088,22599,43944,19751,18200,12906,7666,4148,155411
LGA15950,0,0,0,28,33,22,9,5,0,91,5,27,36,394,95,54,44,15,4,673,3,9,7,156,11,25,13,14,9,247,4,8,7,160,85,68,65,23,7,440,10,30,31,134,35,30,24,15,0,302,7,16,54,533,161,172,101,37,3,1096,0,0,0,21,17,11,10,4,3,63,0,3,9,134,39,20,19,7,10,241,0,11,17,182,34,32,13,0,0,281,8,15,44,352,48,24,9,3,0,510,0,0,0,13,3,14,0,0,3,40,0,8,0,52,16,8,3,0,0,92,37,111,94,436,156,123,69,20,8,1053,0,3,16,129,25,17,20,5,0,220,3,3,9,53,24,15,14,6,3,127,0,0,3,42,27,17,9,3,0,98,41,126,168,1893,347,238,228,125,58,3220,244,242,432,2336,631,588,468,231,131,5307,3846,4694,5288,28676,8222,7184,5927,2680,1146,67658
LGA15990,0,0,0,65,103,54,14,17,7,263,15,72,145,711,317,245,75,38,6,1627,4,7,4,197,60,99,69,20,25,499,5,80,59,483,372,288,275,179,66,1813,27,109,69,112,92,60,38,19,3,524,27,215,269,1408,732,426,251,111,41,3471,0,0,7,87,82,108,72,88,27,478,0,9,6,66,42,38,21,13,3,185,3,12,21,91,32,32,19,0,0,201,12,35,85,348,139,83,10,3,0,724,0,0,9,21,21,18,11,5,4,87,0,6,7,72,60,46,46,14,10,250,56,283,277,886,463,267,170,55,11,2463,0,9,58,198,89,58,28,7,3,453,3,11,21,229,139,77,70,44,13,610,0,0,18,127,92,69,28,3,3,337,101,464,592,4837,1609,957,800,449,205,10014,632,1172,1203,3770,1884,1585,1401,1011,643,13306,15672,34180,26972,67776,37397,28419,22440,13078,6945,252878
LGA16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,13,0,0,0,0,3,0,7,0,0,9,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,3,5,9,19,16,3,64,31,61,67,121,107,73,104,57,13,646,297,628,674,1042,757,725,768,298,112,5301
LGA16150,0,3,0,3,0,3,4,0,0,14,0,19,16,74,33,25,11,0,0,182,0,0,0,5,3,6,3,12,11,34,0,6,0,17,16,18,24,10,5,99,0,4,3,3,4,0,0,0,0,17,0,23,15,51,17,16,8,3,0,145,0,0,0,0,0,3,3,4,0,12,0,3,0,28,5,3,0,0,0,56,0,3,3,10,5,4,3,0,0,29,0,3,5,15,4,3,0,0,0,38,0,0,0,0,3,0,0,0,3,10,0,0,0,7,3,0,0,0,0,14,0,18,7,25,15,5,12,0,0,79,0,0,5,26,3,3,0,0,0,37,0,3,0,7,3,3,7,3,0,23,0,10,20,38,16,6,3,0,0,107,0,35,34,129,54,47,34,34,27,396,118,274,320,747,417,367,314,246,99,2908,2981,5556,4946,10467,4991,4646,3626,2208,921,40344
LGA16200,0,0,0,0,0,0,0,0,0,4,3,9,13,37,11,11,3,0,0,85,0,0,0,0,0,0,0,3,3,6,0,0,0,0,3,3,7,3,0,21,0,0,0,0,0,0,0,0,0,3,0,3,0,11,5,4,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,11,0,0,0,6,0,0,0,0,0,10,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,0,9,8,6,13,3,3,44,48,127,159,288,223,205,226,153,72,1498,938,2012,1817,3102,1899,1947,1511,951,438,14608
LGA16260,0,3,10,48,24,31,8,4,0,132,39,205,278,1805,553,441,219,56,33,3636,0,0,3,163,64,140,84,35,33,526,0,3,13,80,67,86,114,75,37,484,29,101,98,223,94,100,61,17,0,723,9,38,87,376,161,116,86,32,9,916,0,0,0,55,37,46,39,20,5,205,35,167,223,1467,603,446,263,111,34,3358,12,31,104,539,124,132,68,10,0,1021,10,25,69,434,79,66,24,14,5,725,0,0,5,31,18,13,5,7,4,84,0,3,18,171,163,81,57,23,7,516,46,153,77,242,73,57,59,5,11,730,7,13,97,592,353,283,108,35,17,1504,0,0,0,27,19,16,20,14,6,106,0,20,39,138,26,11,3,0,0,240,146,388,525,2918,1059,847,606,365,147,7000,846,1054,1322,5216,1389,1219,915,569,353,12885,16506,25097,26368,81624,26638,22372,15054,8595,3898,226149
LGA16350,0,3,4,38,15,12,9,3,0,87,22,174,299,1513,742,678,273,60,30,3797,3,5,4,85,37,81,64,42,38,360,0,8,19,130,206,290,230,116,37,1037,8,14,14,49,24,39,15,9,0,158,6,24,64,244,131,137,81,40,3,730,0,0,5,15,37,72,54,46,8,243,5,34,54,287,145,165,83,24,9,823,0,3,8,63,11,18,8,0,0,106,4,26,40,195,75,36,10,0,0,377,0,0,0,7,34,32,32,12,3,115,0,0,8,64,72,47,18,13,0,223,4,16,30,120,54,55,34,12,4,329,0,24,29,211,67,44,15,9,5,409,0,0,0,17,42,47,41,13,4,169,3,20,48,112,36,13,5,3,0,234,16,225,507,1708,1016,783,617,288,117,5283,698,1160,1443,3444,1589,1499,1131,591,227,11788,14478,26806,27150,57756,24736,22221,14463,6132,2316,196066
LGA16380,0,0,0,14,16,17,0,0,3,55,3,15,25,83,58,42,22,3,3,251,0,3,0,8,4,4,10,11,7,49,0,14,3,30,46,60,152,81,30,411,0,5,0,3,10,5,8,0,0,27,0,8,16,63,49,46,42,24,3,267,0,0,0,0,4,7,7,5,3,28,0,0,0,10,10,5,14,3,0,37,0,0,0,8,4,0,0,0,0,13,3,7,6,31,17,6,0,0,0,78,0,0,0,0,0,6,3,0,0,11,0,0,0,3,6,0,0,0,0,12,5,43,15,63,27,38,37,12,5,246,0,0,7,31,3,12,3,0,0,56,0,3,4,12,8,13,11,15,6,81,0,0,3,19,9,16,13,4,0,55,10,24,32,140,110,119,135,108,48,729,187,378,440,964,738,833,1110,753,328,5718,3820,9278,7530,14740,10149,11262,11782,7001,2981,78539
LGA16400,0,3,0,14,11,7,4,0,0,44,0,29,15,74,51,42,19,3,3,241,0,0,0,8,0,15,9,6,5,48,0,14,11,24,47,65,124,73,22,364,0,0,0,11,3,3,0,0,0,28,0,28,24,77,39,38,43,13,0,264,0,0,0,0,5,7,14,6,4,35,0,0,0,4,3,0,0,0,0,16,0,3,0,11,0,0,0,0,0,11,3,11,9,47,14,9,0,0,0,95,0,0,0,0,7,6,3,0,0,18,0,0,0,3,3,6,0,0,0,16,13,23,18,53,29,23,29,3,0,187,0,0,3,17,7,9,0,3,0,37,3,3,7,16,24,18,30,12,7,125,0,4,0,13,11,3,9,0,0,38,3,17,19,129,74,110,140,68,23,589,208,434,489,1106,747,830,922,580,300,5610,3849,8665,7641,14531,9249,9673,9484,4798,1676,69556
LGA16490,0,0,0,25,32,10,0,0,0,73,4,60,55,177,73,61,9,3,0,454,0,0,0,26,3,26,17,7,14,89,0,6,0,25,44,64,49,26,7,209,0,3,4,16,18,7,3,3,0,50,5,11,27,73,50,26,11,5,0,205,0,0,0,6,21,16,27,18,5,94,3,7,5,37,24,15,13,4,0,100,0,0,0,10,3,3,0,0,0,14,0,10,7,45,12,9,3,0,0,89,3,4,23,118,120,132,78,37,16,525,0,6,3,5,8,0,0,0,0,19,15,45,29,85,49,43,32,5,0,295,0,0,4,35,22,13,3,0,0,86,0,0,0,10,19,17,10,8,0,54,0,0,3,23,11,10,10,0,0,50,6,31,51,346,185,185,149,108,51,1107,231,417,444,1209,731,587,448,217,70,4355,3648,7319,6754,15557,8956,6973,4267,1867,680,56027
LGA16550,0,0,0,39,50,23,15,7,3,135,3,39,136,577,180,147,65,29,9,1178,0,8,10,200,53,112,81,30,61,554,3,16,36,329,122,129,90,50,16,810,18,37,241,249,59,66,38,15,12,731,6,56,178,649,432,168,132,88,39,1762,0,0,0,23,18,33,21,21,13,128,0,7,57,128,29,25,27,9,8,293,7,3,78,212,42,48,22,8,0,433,5,19,132,298,94,74,26,4,4,650,0,0,0,8,9,9,3,0,0,31,0,3,5,43,51,37,20,8,3,168,29,107,143,492,155,75,57,8,4,1073,3,28,126,315,91,98,42,22,4,737,0,6,6,103,29,19,15,11,4,193,0,3,16,72,27,20,5,4,0,147,100,255,759,3924,1141,1017,983,586,303,9070,469,674,1644,3720,1230,1039,885,581,431,10679,7645,13313,23126,47566,17002,13097,9758,5967,3181,140660
LGA16610,0,0,0,3,8,7,0,0,0,16,0,10,12,42,27,16,3,3,0,111,0,0,0,3,0,0,0,0,0,5,0,0,0,3,11,13,21,7,3,53,0,0,0,0,4,0,0,0,0,7,0,0,0,6,3,5,7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,7,9,9,3,0,42,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,4,0,0,7,0,0,0,3,0,0,3,0,0,8,0,3,4,22,12,20,25,11,3,96,90,214,210,426,330,323,256,181,58,2099,1371,2997,2624,4454,2939,3304,2808,1676,634,22807
LGA16650,0,3,4,21,13,10,3,0,3,63,20,88,156,982,339,272,110,37,9,2012,0,5,4,172,32,28,24,18,6,292,0,3,4,52,35,53,42,22,17,234,0,13,38,100,26,33,18,8,0,234,0,6,30,104,59,40,33,11,4,285,0,0,0,32,39,71,47,28,10,231,0,0,6,52,22,21,12,9,8,121,0,0,23,189,26,23,11,0,0,275,6,18,69,526,89,55,19,8,0,789,10,28,62,406,451,679,684,358,123,2794,0,4,18,107,85,49,55,15,11,348,18,45,37,95,40,23,10,5,0,269,10,16,127,434,189,197,66,15,11,1062,0,0,0,8,3,8,11,0,4,39,0,4,9,39,3,0,0,0,0,68,73,188,563,3401,869,781,727,384,144,7145,346,532,752,2508,867,741,680,582,551,7556,6656,10769,13555,37658,13115,10903,8389,5545,2817,109404
LGA16700,0,0,3,24,38,23,13,5,3,105,22,152,142,1058,283,254,119,28,19,2058,0,0,9,99,39,57,38,14,7,269,0,3,12,53,43,74,65,49,30,324,24,55,59,207,62,75,40,15,4,544,10,19,59,230,105,75,64,25,8,591,0,0,0,25,24,29,24,17,8,137,10,30,63,390,158,158,102,75,18,1002,11,13,78,389,71,50,26,9,0,656,9,10,69,318,68,41,15,4,6,528,3,3,3,15,16,26,27,13,4,111,0,0,0,70,34,27,16,16,3,173,24,59,84,175,67,33,29,3,3,481,7,24,129,393,157,116,49,22,10,904,0,5,0,20,17,12,9,9,6,89,0,5,20,60,14,13,4,0,0,113,95,207,299,1806,642,493,391,273,114,4327,285,343,671,1726,664,529,415,332,220,5189,7118,11848,15738,38339,14453,12214,8314,5306,2972,116302
LGA16900,0,0,0,8,6,3,3,0,0,27,3,15,27,100,61,63,28,7,4,296,0,0,0,22,11,25,29,10,9,104,0,9,3,28,112,163,114,87,28,538,0,5,4,6,3,6,0,0,0,34,6,21,30,73,32,25,25,5,4,215,0,0,0,4,25,30,24,25,10,117,0,0,4,12,3,4,0,0,0,25,0,0,0,6,0,0,0,0,0,15,0,9,14,56,17,3,4,0,0,111,0,3,9,67,173,244,234,64,20,806,0,3,3,42,53,22,27,8,3,167,3,3,15,37,29,16,18,0,0,117,0,3,3,32,26,17,10,3,3,101,0,0,7,11,59,50,36,29,8,200,0,0,0,11,6,4,0,0,0,25,0,29,30,213,284,390,298,242,120,1605,164,380,401,924,578,620,561,338,126,4094,4335,9269,8987,16623,9242,8509,6531,3579,1377,68460
LGA16950,0,0,0,16,23,12,4,3,0,61,3,27,30,123,68,73,32,4,0,361,0,0,0,19,3,23,20,22,11,99,0,4,4,26,59,123,165,114,39,540,0,0,0,12,16,11,7,4,0,46,0,8,7,48,39,43,66,14,0,228,0,0,0,0,3,20,11,14,3,58,0,5,0,18,5,3,12,0,3,45,0,0,4,6,0,0,0,0,0,8,7,9,11,66,27,10,8,0,0,138,0,0,0,3,4,10,16,4,0,33,0,0,0,5,0,0,8,0,0,10,3,27,22,72,40,55,61,18,6,303,0,0,9,46,17,7,3,0,0,85,0,3,0,11,23,30,52,30,11,161,0,0,3,13,3,9,6,3,0,43,9,24,29,186,156,211,296,206,62,1165,265,616,705,1513,1095,1303,1355,865,416,8132,5122,11193,9929,19398,12305,15353,14975,8210,3160,99650
LGA17000,0,0,0,8,4,3,0,0,0,23,4,22,10,59,15,14,5,0,0,129,0,0,0,0,0,0,0,0,0,7,0,0,0,8,6,18,7,5,3,43,0,0,0,6,0,3,0,0,0,7,0,12,20,48,32,8,4,0,0,119,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,3,0,0,16,0,0,0,13,0,0,0,0,0,20,4,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,7,4,21,7,0,8,0,0,51,0,0,3,13,5,0,0,0,0,24,0,0,0,0,3,0,4,0,3,7,0,0,3,5,4,0,0,0,0,16,0,7,3,50,19,22,17,14,4,138,70,238,168,475,296,273,221,106,39,1891,1537,3325,3149,5961,3336,2749,1741,839,343,22987
LGA17040,0,0,0,7,8,3,0,0,0,16,0,0,3,15,5,10,4,0,0,41,0,0,0,12,0,11,0,4,3,32,0,0,3,11,11,18,34,17,3,90,0,0,0,0,3,4,0,0,0,10,0,4,9,12,5,10,7,3,3,50,0,0,0,0,5,0,9,9,0,17,0,4,3,7,4,4,0,0,0,23,0,0,13,40,0,0,0,0,0,48,0,8,5,19,7,4,3,0,0,45,0,0,0,0,0,0,4,3,0,10,0,0,0,4,8,3,0,0,0,12,3,5,10,21,13,15,10,4,0,74,0,0,3,8,7,4,0,0,0,21,0,0,0,0,3,0,0,3,0,15,0,0,0,5,3,0,0,0,0,6,0,3,8,51,51,59,104,61,22,350,57,157,200,474,321,291,253,151,98,1993,959,2507,2252,4693,3039,2896,2274,1144,460,20218
LGA17080,0,0,0,6,3,0,0,0,0,9,0,7,3,25,5,9,0,0,0,49,0,0,0,0,0,3,0,3,3,11,0,0,0,4,0,10,24,7,0,45,0,0,0,0,0,3,0,0,0,6,0,18,16,37,22,3,0,0,0,98,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,33,0,0,0,15,3,0,3,0,0,27,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,5,0,0,0,24,0,0,0,4,3,3,0,0,0,12,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,4,0,0,0,9,5,7,8,32,15,31,24,20,9,150,54,113,122,273,216,267,189,145,106,1485,809,1793,1437,3071,1933,2161,1781,987,430,14395
