LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA10050,15,237,847,780,712,629,232,67,27,3551,0,81,573,534,539,427,132,39,10,2332,0,21,397,450,489,364,73,15,9,1811,0,4,195,293,339,252,46,10,4,1146,0,5,189,390,422,283,58,13,5,1363,3,7,56,157,190,161,64,20,11,673,312,358,559,495,514,547,525,501,338,4161,3248,3508,6498,6205,6497,6372,4907,2913,1329,41468
LGA10130,5,95,375,333,366,331,163,72,19,1756,0,31,220,200,271,196,83,37,12,1051,0,13,155,182,252,202,66,20,11,898,0,8,99,144,175,133,44,5,8,613,0,3,75,197,294,227,69,16,3,888,6,5,21,77,113,113,37,20,8,395,292,328,309,256,354,324,293,225,104,2488,2560,2793,3464,3100,3657,3552,2747,1595,649,24115
LGA10250,5,71,402,531,608,575,318,106,46,2663,0,29,276,332,381,348,130,43,15,1541,0,5,182,309,349,296,113,33,18,1312,0,0,99,239,272,244,73,19,6,966,0,4,105,272,318,273,105,35,12,1114,4,3,42,148,225,171,82,27,15,719,265,120,283,370,460,552,516,468,529,3562,2384,1571,3581,4669,5759,6434,5503,3203,1755,34860
LGA10300,0,11,22,27,33,39,12,0,3,150,0,8,14,28,13,14,0,0,0,82,0,0,11,8,12,9,6,0,0,46,0,0,4,10,10,3,0,0,0,23,0,0,3,18,12,12,0,0,0,52,0,0,3,3,3,11,0,0,0,28,29,22,31,43,33,55,36,35,13,286,135,132,233,276,290,377,202,131,35,1801
LGA10470,9,179,620,509,576,459,201,66,25,2645,6,86,427,392,432,361,110,35,5,1843,0,34,298,369,420,339,67,25,7,1565,0,20,169,358,301,241,45,13,3,1150,0,6,222,374,428,276,54,12,3,1372,3,3,57,107,141,132,42,16,5,499,385,492,672,532,526,476,436,311,201,4027,2980,3148,5171,4878,5238,4991,3862,2019,892,33181
LGA10550,9,69,296,334,498,504,257,70,35,2072,0,29,154,227,296,322,121,29,20,1199,0,14,104,158,257,227,69,23,10,851,0,7,73,114,174,148,42,12,6,582,0,5,54,125,184,155,55,12,9,602,0,3,25,35,79,101,40,12,10,307,254,105,218,250,435,524,470,388,243,2890,1792,1189,2482,3120,4648,6154,5060,2546,999,27994
LGA10600,4,12,90,131,174,180,81,17,11,701,0,14,53,93,102,100,37,10,3,404,0,5,38,59,85,73,30,4,0,303,0,0,16,61,72,76,18,3,0,246,0,0,13,59,88,50,26,8,7,254,0,0,8,17,39,24,13,3,3,110,112,33,66,97,143,173,169,120,54,976,719,396,953,1324,1824,2240,1718,924,368,10465
LGA10650,0,31,70,95,87,113,60,19,7,477,0,4,57,53,67,72,17,9,0,272,0,5,56,47,44,45,12,4,0,208,0,0,14,34,45,34,3,3,0,139,0,0,18,43,27,31,19,4,4,150,0,0,9,17,21,16,12,9,3,88,87,48,87,91,118,149,172,107,60,907,421,331,747,843,936,1304,1370,739,313,7018
LGA10750,87,1783,7426,6270,5244,3448,847,138,51,25290,28,742,4878,4701,3649,2228,425,44,13,16708,5,236,3492,4083,2960,1714,319,27,9,12848,7,81,1995,3058,2105,1215,178,18,9,8654,5,54,2192,4497,2827,1374,209,14,3,11173,22,39,481,1361,960,466,114,32,8,3481,1875,1684,3640,3354,2763,2281,1962,1148,646,19355,23289,22830,52249,51402,42063,33702,21536,9674,3553,260306
LGA10800,0,24,71,65,62,64,23,18,4,338,0,10,37,52,41,45,19,6,0,210,0,9,39,37,36,42,10,3,0,183,0,4,16,31,18,21,11,0,4,108,0,0,33,48,32,33,3,3,0,154,0,0,11,23,20,24,9,10,0,107,58,29,80,82,94,122,85,92,84,728,333,267,588,680,709,866,626,442,211,4725
LGA10850,0,32,92,97,105,76,54,17,0,475,3,6,51,64,62,60,12,6,0,264,0,3,51,68,64,63,13,0,0,269,0,3,33,52,59,37,5,3,0,194,0,3,45,69,77,42,13,0,0,244,0,0,19,28,32,14,3,4,0,101,63,42,47,81,98,89,80,60,18,573,457,324,707,861,1029,1014,759,426,165,5751
LGA10900,22,273,906,1041,1089,1075,560,119,53,5126,3,114,661,878,883,816,346,66,4,3781,0,41,546,822,957,842,214,35,6,3462,0,16,353,736,879,649,139,13,7,2790,0,15,356,1015,1221,995,199,34,11,3840,0,8,78,398,509,424,101,32,16,1570,334,196,397,550,620,708,730,557,436,4525,4769,3631,6985,9687,10982,11758,9280,4107,1630,62830
LGA10950,8,15,30,27,48,26,15,3,0,177,0,7,29,7,29,16,5,3,0,108,0,12,24,23,33,16,5,0,0,106,0,5,17,11,14,15,0,3,0,68,0,0,27,22,22,4,5,5,0,84,0,0,3,15,15,13,0,3,3,57,35,20,49,42,52,37,38,31,18,319,167,155,317,296,394,280,284,187,65,2140
LGA11100,15,323,1141,801,616,427,148,27,15,3512,3,160,897,632,461,305,73,17,3,2546,0,70,676,582,426,222,49,12,4,2037,3,24,464,510,318,147,34,8,3,1509,0,27,641,761,552,224,41,6,0,2250,9,6,156,408,279,113,17,9,0,992,233,302,747,555,435,382,312,279,175,3418,2651,3793,8770,7156,5846,4430,3269,2052,765,38732
LGA11150,0,11,45,29,43,22,12,0,0,157,0,4,37,20,17,13,4,0,0,97,0,3,30,15,19,15,6,0,0,89,0,0,22,20,14,8,0,0,0,66,0,3,20,19,16,9,5,0,0,67,0,0,5,3,5,3,8,0,0,26,34,41,67,66,96,79,51,39,15,493,121,159,369,294,401,309,209,110,40,2016
LGA11200,0,9,15,10,9,15,3,0,0,65,0,3,13,11,6,8,0,3,0,43,0,0,13,9,10,7,3,0,0,40,0,0,3,4,4,4,3,0,0,24,0,0,3,10,6,9,4,0,0,29,0,0,0,0,3,0,0,0,0,6,22,38,45,21,43,33,4,0,0,214,95,123,231,155,270,216,110,45,21,1274
LGA11250,3,81,218,181,208,193,60,25,5,975,0,43,155,111,165,147,20,3,3,657,0,22,134,103,151,99,23,0,0,542,0,18,105,113,118,105,12,3,0,477,0,4,125,143,179,133,16,7,3,605,7,6,17,42,44,41,7,10,4,182,110,110,228,193,231,258,283,248,223,1873,949,962,2114,1861,2356,2663,2049,1219,593,14767
LGA11300,6,212,913,459,421,321,124,51,10,2521,0,85,575,334,277,211,76,23,6,1595,0,36,422,305,278,171,58,20,8,1299,0,8,292,256,214,143,43,13,7,973,0,12,352,510,404,220,66,20,3,1581,3,4,92,247,284,167,33,13,5,846,146,307,528,266,276,231,198,159,127,2237,2156,4403,7860,4385,4337,3615,2484,1798,976,32004
LGA11350,5,41,308,409,466,396,178,55,20,1874,0,14,190,268,289,242,87,24,5,1112,0,4,105,200,228,200,78,20,3,835,0,4,60,137,173,130,46,14,5,566,0,3,68,189,217,187,82,17,7,761,3,6,43,133,156,158,77,15,4,601,311,189,509,591,671,754,482,222,136,3862,1607,1194,3390,4381,4879,5482,3371,1270,687,26265
LGA11400,3,31,140,163,207,178,80,24,4,823,0,20,105,130,115,109,31,4,0,522,0,7,72,117,140,93,33,3,6,479,0,3,43,70,96,72,16,8,3,312,0,3,55,149,144,78,30,4,4,464,0,0,17,62,83,43,25,20,4,261,138,45,102,130,169,148,169,117,51,1060,907,513,1193,1555,1887,1782,1559,792,306,10499
LGA11450,33,501,1885,1452,1214,806,272,45,15,6224,5,230,1538,1220,908,596,139,27,7,4670,3,85,1182,1170,903,469,108,9,4,3932,3,34,748,913,741,383,76,12,0,2907,0,29,730,1410,1034,501,74,14,7,3803,0,7,141,454,422,225,50,24,8,1325,371,324,687,646,561,426,441,368,391,4208,5357,4846,11903,11954,9839,7377,4977,2292,980,59521
LGA11500,48,927,3161,2526,2406,1940,553,79,28,11667,15,338,2108,1889,1567,1244,265,19,3,7455,6,132,1405,1483,1266,988,193,12,10,5492,0,54,683,931,872,649,94,8,0,3292,3,21,715,1123,1019,775,105,13,0,3781,14,22,119,309,306,263,71,18,10,1132,976,852,1653,1423,1315,1254,1143,657,436,9707,10656,11451,23307,21097,19566,18553,12079,4780,1666,123148
LGA11520,28,513,2173,1096,974,817,476,118,51,6244,10,222,1713,970,829,581,314,76,27,4731,4,95,1500,1133,894,662,232,75,15,4616,0,33,1003,1008,750,478,182,48,15,3513,3,40,1566,2172,1435,937,270,70,25,6513,0,16,633,1923,1598,776,273,84,43,5341,302,464,1288,933,735,635,574,381,328,5633,4009,6281,16685,13340,11236,9267,6867,4023,2020,73728
LGA11570,50,1491,6285,4943,4309,3032,879,243,98,21325,31,648,4003,3394,2912,1812,436,80,35,13338,9,227,2759,2792,2296,1426,320,48,22,9913,6,89,1635,2007,1678,960,173,29,19,6594,3,52,1750,2906,2355,1266,205,35,24,8597,16,41,468,1198,1018,520,159,50,24,3490,1871,1925,4221,3445,3277,2632,2169,1743,1251,22536,21865,24494,53063,46854,43804,36941,24897,15862,7487,275266
LGA11600,4,10,66,39,50,37,8,3,0,214,0,11,28,25,41,26,9,0,0,136,0,0,16,17,15,23,12,0,0,82,0,0,10,11,10,6,3,0,0,44,0,0,7,22,17,10,3,0,0,61,0,4,4,6,8,12,8,0,0,52,21,24,54,47,39,33,23,22,13,265,156,155,362,328,397,382,204,135,60,2185
LGA11650,61,1227,4570,4339,4746,4071,1688,537,252,21490,18,448,3119,3265,3295,2493,794,190,91,13717,7,201,2377,2904,3050,2129,575,147,58,11450,3,62,1284,2273,2357,1564,324,83,44,7987,3,43,1285,3175,3192,1943,438,132,36,10253,24,50,351,1256,1577,1071,355,167,82,4942,1727,1289,2309,2482,2910,2997,3304,3103,2553,22674,19930,18174,35278,39376,43630,42364,36591,21691,10278,267307
LGA11700,0,4,12,12,14,20,5,3,0,80,0,0,8,16,10,3,8,0,0,44,0,0,14,3,6,6,3,0,0,36,0,0,4,9,10,4,4,0,0,32,0,3,0,6,5,11,0,0,0,29,0,0,3,0,5,10,0,0,0,25,31,20,79,45,58,51,47,15,3,341,123,108,249,201,249,268,197,73,23,1485
LGA11720,6,211,757,677,687,547,177,58,15,3129,4,72,489,456,414,350,70,12,3,1870,0,47,335,390,362,267,58,3,4,1468,0,25,225,294,260,198,36,8,4,1056,3,29,343,521,474,314,57,4,3,1754,0,13,90,187,193,135,57,14,7,693,389,414,909,735,686,662,684,423,261,5166,3454,3443,7149,6867,6988,7177,5519,2538,1052,44189
LGA11730,11,97,358,437,566,572,281,110,46,2471,0,40,208,300,338,313,115,40,9,1363,3,16,151,258,305,271,60,22,8,1093,0,6,89,171,227,198,35,10,3,738,0,5,94,202,224,196,49,15,8,792,0,5,38,75,91,87,51,33,8,397,441,219,449,534,595,720,742,582,322,4600,2961,2047,4148,5145,6710,8345,7399,3989,1618,42364
LGA11750,5,17,61,41,40,48,13,3,0,236,0,23,41,29,39,25,8,0,0,165,0,16,68,30,46,34,6,0,0,199,0,12,45,29,26,28,0,3,0,149,0,14,94,87,57,47,3,0,3,316,0,0,13,41,37,25,5,3,0,124,43,44,87,72,86,88,61,45,12,537,252,257,708,588,586,591,350,212,78,3623
LGA11800,13,195,764,892,1047,851,382,106,62,4313,7,79,551,604,663,523,207,39,16,2694,4,30,348,464,536,447,108,24,10,1981,0,12,194,375,401,335,57,17,7,1401,0,10,197,440,482,339,77,24,6,1578,0,7,76,210,204,176,75,34,13,795,443,345,656,603,796,920,823,777,658,6027,4331,3688,7649,8219,9633,10689,8512,4793,2070,59595
LGA12000,0,14,48,63,63,55,28,19,4,287,0,3,18,27,38,32,12,3,0,134,0,12,13,32,37,24,12,4,3,137,0,0,14,20,32,15,3,8,0,95,0,0,16,19,27,19,4,0,0,92,0,0,7,14,31,18,9,0,3,80,34,18,41,57,58,63,98,83,36,479,259,200,354,457,594,554,550,344,120,3431
LGA12150,4,11,36,27,53,38,16,6,3,189,0,8,31,14,35,20,11,3,3,130,0,3,28,12,25,12,3,0,0,85,0,0,16,3,15,13,4,0,0,48,0,0,9,11,15,12,3,0,0,50,0,3,5,6,16,13,7,5,0,56,52,30,75,77,104,89,102,58,32,611,201,215,440,378,568,546,439,239,105,3124
LGA12350,0,42,106,128,139,144,63,34,3,663,0,14,59,85,98,76,24,11,0,371,0,7,36,54,83,78,23,8,3,297,0,0,18,44,48,53,14,3,3,196,0,0,32,42,62,41,17,3,3,196,0,5,7,27,36,27,20,9,3,130,99,75,112,118,154,167,192,169,82,1159,739,655,1071,1261,1663,1812,1673,996,433,10296
LGA12380,34,1039,4730,3108,2414,1603,495,104,43,13570,7,444,2904,2204,1585,971,242,34,16,8407,6,173,1971,1883,1230,751,152,24,7,6196,4,59,1110,1362,814,510,94,13,0,3971,3,51,1228,1935,1154,600,100,11,7,5078,12,25,297,598,441,220,52,28,9,1683,1074,1405,3186,2159,1765,1524,1151,793,528,13588,12528,17158,42160,30455,24715,20582,13403,7431,3282,171707
LGA12700,3,32,90,105,127,121,52,21,8,558,0,11,55,80,79,68,30,10,0,341,0,3,50,62,63,60,26,3,0,274,0,3,32,36,74,71,9,3,0,227,0,0,35,84,96,58,6,3,0,289,0,3,18,38,43,31,22,3,5,162,90,33,62,77,118,117,99,88,40,735,557,373,815,1000,1320,1447,1058,559,179,7315
LGA12730,0,41,99,116,131,128,36,20,9,582,0,12,64,73,67,83,20,3,3,324,0,3,47,57,56,61,22,4,3,266,0,3,11,43,45,30,7,3,0,150,0,0,13,59,62,45,14,4,4,213,0,0,10,23,22,26,11,7,0,97,81,53,85,98,127,178,169,125,54,967,507,477,865,977,1119,1362,1010,671,295,7276
LGA12750,3,49,244,363,441,563,321,103,42,2136,0,20,171,207,261,317,154,40,29,1200,0,7,78,130,204,247,84,13,15,780,0,6,47,102,147,156,55,13,6,536,0,0,51,99,170,173,83,24,11,613,4,0,22,72,79,93,49,16,19,360,245,143,246,314,409,607,710,544,414,3630,1799,1278,2615,3405,4667,6778,6609,3382,1388,31914
LGA12850,48,1045,3195,2312,2372,1784,412,94,21,11282,14,388,2030,1474,1426,1001,213,31,11,6580,3,140,1302,1088,1022,675,150,17,7,4407,3,50,654,721,596,435,83,16,5,2560,0,29,637,834,718,438,96,17,0,2767,3,23,161,294,289,182,65,33,3,1050,1097,979,1857,1642,1822,1570,1117,854,498,11442,14169,15335,27090,24772,27133,24942,15253,8601,3585,160880
LGA12870,3,37,162,154,184,160,79,23,7,818,0,15,72,101,135,115,36,9,3,491,0,5,48,76,106,72,16,4,0,336,0,3,18,44,60,49,12,0,3,194,0,0,12,49,66,63,11,5,0,213,0,0,5,21,19,34,13,9,0,103,100,54,79,111,145,184,247,224,132,1275,672,518,985,1198,1542,1883,1875,1093,411,10187
LGA12900,0,43,118,93,124,113,59,12,9,577,0,15,92,64,76,64,18,11,0,329,0,6,60,65,69,50,10,13,0,268,0,9,27,41,41,32,8,0,0,162,0,3,31,62,58,43,6,3,0,201,0,0,8,19,28,22,10,4,3,94,93,56,107,93,132,126,167,126,47,948,631,481,1001,984,1236,1221,1122,710,254,7636
LGA12930,26,726,3208,2132,1937,1500,666,202,97,10484,8,314,2093,1669,1440,990,362,108,47,7030,7,123,1591,1444,1475,888,282,58,29,5887,0,43,904,1254,1032,680,180,50,13,4152,6,41,1159,1967,1737,1007,284,63,26,6280,3,12,339,1084,1223,686,184,77,30,3636,555,612,1447,1006,1019,886,754,676,633,7608,8900,11199,24425,19243,19255,16677,11582,7179,3763,122216
LGA12950,0,16,27,40,62,50,14,10,3,215,0,8,26,27,22,36,13,0,0,133,0,0,20,17,29,24,4,5,0,103,0,0,15,21,28,19,3,0,0,84,0,0,7,7,21,17,3,0,0,63,0,3,6,7,4,22,3,0,0,50,41,17,41,35,47,62,64,82,42,430,233,216,410,428,552,607,511,354,134,3440
LGA13010,0,18,59,78,85,110,49,19,5,424,0,10,35,36,47,47,19,5,0,206,0,3,19,46,30,43,18,4,0,161,0,0,13,28,29,22,7,3,3,102,0,0,22,36,38,21,10,0,0,129,0,0,3,14,13,21,7,3,0,60,74,42,144,156,131,143,180,114,78,1065,472,386,809,929,1072,1368,1297,706,279,7322
LGA13310,10,129,458,376,421,386,149,38,18,1995,0,64,246,262,309,232,80,11,6,1204,0,16,194,276,246,228,50,18,8,1034,0,8,116,204,218,181,22,3,6,756,0,8,126,237,280,192,40,13,0,898,5,4,20,61,86,72,35,16,3,306,222,211,471,423,408,333,372,346,226,3004,1741,1669,3567,3518,4040,3954,3250,1760,738,24238
LGA13340,0,30,115,109,166,149,62,26,9,668,0,7,71,90,111,107,24,12,5,433,0,8,38,68,90,63,17,3,0,295,0,4,22,66,49,51,9,3,0,207,0,0,18,44,76,49,16,3,3,207,0,3,8,21,47,40,10,3,7,146,79,43,81,77,86,148,138,94,83,830,677,399,887,1084,1429,1573,1241,558,259,8116
LGA13450,13,119,430,321,342,320,108,28,17,1697,0,45,251,228,248,186,51,14,3,1023,0,9,156,190,188,140,49,11,4,757,0,4,83,131,141,92,28,6,0,491,3,6,95,153,174,115,24,9,10,592,0,4,20,69,87,80,27,18,3,318,222,179,385,330,363,381,348,299,262,2768,1624,1537,3518,3097,3323,3035,2050,1418,669,20274
LGA13510,9,39,104,119,126,139,68,43,8,646,0,9,67,85,93,69,26,9,0,354,0,0,48,64,74,44,18,3,0,247,0,0,27,41,59,44,13,10,0,193,0,0,31,52,54,50,14,8,3,226,0,3,12,23,32,40,23,12,0,150,84,46,81,105,126,144,152,129,96,971,607,482,972,1174,1377,1636,1514,969,391,9126
LGA13550,3,41,129,137,140,156,47,25,6,686,3,26,125,88,79,95,42,14,0,475,0,19,95,87,79,75,12,0,4,385,3,13,74,72,70,49,14,0,0,299,0,18,139,123,104,69,13,6,0,467,0,3,47,73,55,41,14,9,4,247,96,76,112,125,156,141,148,132,51,1029,702,664,1520,1376,1532,1573,1192,801,318,9686
LGA13660,0,20,45,47,66,66,23,15,6,292,0,7,25,34,45,25,5,12,0,154,0,0,25,18,23,12,7,0,0,87,0,0,4,21,28,18,13,0,0,79,0,3,13,19,28,14,0,0,0,80,0,0,4,0,16,20,7,3,0,51,44,26,45,58,76,127,100,83,43,591,248,229,440,520,737,739,773,441,155,4280
LGA13800,28,448,1173,931,1180,832,351,82,10,5038,6,202,836,788,862,570,171,26,11,3478,5,77,650,740,797,516,111,23,3,2922,0,46,318,526,625,374,88,14,3,1984,0,20,350,713,788,522,107,18,4,2532,3,12,63,240,368,214,64,25,5,998,450,349,592,557,772,585,536,331,191,4360,4580,4387,8030,8115,9554,7833,5571,2640,1010,51718
LGA13850,3,14,32,26,43,38,19,7,3,194,0,5,23,28,29,21,3,4,0,116,0,0,17,15,30,19,5,0,0,78,0,0,7,6,20,9,0,0,0,46,0,0,9,16,23,10,7,9,0,67,0,3,3,7,11,7,0,3,0,36,28,18,52,32,60,48,70,55,21,381,173,150,297,277,461,424,358,233,60,2431
LGA13910,0,75,174,196,250,193,97,26,15,1026,3,18,109,127,137,103,32,13,5,545,0,13,70,113,107,101,32,10,4,454,0,3,37,79,82,66,21,3,0,299,0,3,44,102,111,59,22,18,3,357,0,6,14,34,70,54,37,17,0,222,173,75,143,155,198,232,267,186,85,1521,1148,899,1683,2018,2439,2535,2396,1254,516,14883
LGA14000,18,763,2026,1759,1808,1526,861,317,135,9215,3,294,1564,1650,1610,1275,544,178,78,7192,8,126,1357,1718,1663,1170,457,141,46,6679,3,35,856,1522,1452,1040,299,73,38,5321,6,25,1218,3475,3031,1853,440,101,40,10189,6,5,326,2112,2655,1369,340,78,32,6918,465,373,703,876,902,711,670,807,1105,6615,9677,8372,14697,20695,21080,17202,12158,7073,3841,114796
LGA14100,3,42,134,98,140,134,107,50,32,735,0,33,140,101,110,103,75,18,14,590,0,11,116,127,145,104,66,31,16,615,3,7,83,111,93,82,50,22,15,471,0,3,140,228,223,187,119,32,9,938,3,3,74,454,579,328,185,55,24,1701,93,58,98,103,123,120,108,137,271,1117,1162,686,1134,1699,2004,1640,1425,856,746,11350
LGA14170,22,1090,4871,2703,2109,1586,717,169,50,13316,4,510,4006,2469,1843,1254,468,83,30,10671,3,189,3406,2675,1973,1250,354,65,18,9935,3,71,2172,2341,1731,1019,260,46,14,7651,3,56,3409,5112,3535,1767,434,53,13,14388,10,27,1264,4598,3651,1530,397,63,25,11563,598,1136,3533,2703,2036,1570,1159,858,665,14250,6783,12739,36902,31754,25239,18512,12191,6838,3170,154128
LGA14200,3,45,191,173,214,181,68,23,11,900,0,22,91,89,96,91,35,10,3,441,0,3,52,92,111,53,9,3,5,324,0,3,35,56,77,67,20,7,3,257,0,3,26,63,73,47,15,3,0,233,3,5,11,22,32,37,14,15,0,134,146,77,157,150,190,249,238,173,96,1473,1042,898,1710,1754,2064,2192,1921,1165,408,13158
LGA14300,4,21,76,63,73,65,26,5,0,324,0,12,48,47,50,29,12,3,3,216,0,8,30,40,38,43,3,3,0,160,0,0,20,12,26,16,3,0,3,84,0,3,14,27,37,30,7,3,0,133,0,0,11,8,16,17,5,7,3,61,58,129,316,329,187,183,96,45,16,1366,332,400,870,851,840,862,624,279,115,5173
LGA14350,3,60,266,273,306,291,158,27,25,1418,3,23,127,156,162,168,48,14,4,700,0,6,63,91,133,124,32,7,8,458,0,3,39,87,125,88,16,0,3,362,0,0,37,96,108,84,19,6,3,354,3,5,22,30,46,50,31,6,4,198,288,205,491,402,447,533,484,389,278,3513,1653,1336,2675,2892,3719,4723,4042,1997,867,23915
LGA14400,3,95,246,234,282,352,178,43,23,1456,4,54,219,171,217,240,112,26,5,1054,0,20,153,206,254,221,65,24,3,952,0,6,100,165,201,180,37,10,3,702,0,4,132,272,327,270,43,20,3,1069,3,0,26,147,157,142,49,13,8,542,127,68,118,145,205,206,262,192,164,1491,1254,1058,1853,2350,2828,3466,2846,1498,704,17852
LGA14500,16,509,1276,953,1211,1008,867,448,229,6525,11,254,1086,897,985,807,667,336,139,5186,8,112,933,957,1142,939,547,281,157,5078,0,24,624,971,1010,744,438,192,98,4103,3,16,1020,2466,2480,1580,792,325,156,8840,9,14,440,3391,5047,2550,920,374,201,12942,556,319,501,626,799,589,590,642,957,5579,9293,6638,9662,15085,18515,13543,10518,6907,4036,94189
LGA14550,0,21,59,58,117,110,48,19,8,431,0,0,30,34,67,54,18,3,0,205,0,3,19,33,52,43,8,0,0,167,0,0,9,21,26,26,8,0,0,95,0,0,8,22,35,34,5,3,0,117,0,4,6,17,23,16,10,0,3,74,83,29,51,89,163,180,127,86,56,877,502,329,633,855,1358,1747,1217,594,239,7473
LGA14600,3,29,66,57,64,74,33,16,7,354,0,21,47,31,26,49,10,7,3,188,0,9,47,30,34,27,3,5,3,157,0,0,13,32,23,15,10,4,0,99,0,4,27,27,28,25,3,0,0,114,0,0,0,9,28,23,12,9,0,85,60,41,82,96,97,104,124,79,33,717,322,346,738,654,708,814,651,447,172,4846
LGA14650,35,786,3055,2673,2924,2533,1122,310,107,13546,8,272,2028,1899,2008,1614,513,118,30,8505,6,104,1548,1828,1927,1431,343,75,25,7287,0,38,887,1459,1489,1027,214,49,14,5179,3,44,1148,2050,2072,1425,270,72,21,7096,11,24,305,889,1052,757,221,75,35,3371,793,581,1129,1183,1411,1531,1697,1532,1371,11227,12210,10893,21737,23628,26085,26105,22286,12635,5681,161262
