LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA10050,250,14,0,0,0,262,141,19,4,0,0,167,121,17,0,0,0,141,283,43,0,0,0,332,467,59,3,0,3,529,1398,81,3,0,0,1481,1315,44,3,0,3,1363,1113,16,0,0,0,1129,304,8,0,0,0,315,218,6,0,3,0,220,100,0,0,0,0,107,229,10,0,0,0,246,5935,325,20,7,12,6289
LGA10130,166,0,0,0,0,167,78,0,0,0,0,77,75,0,0,0,0,74,137,7,0,3,0,145,198,6,3,0,0,215,583,16,4,0,3,602,521,14,0,0,0,535,393,4,0,0,4,398,135,0,0,0,0,136,122,3,0,0,0,123,83,0,0,0,0,80,106,0,0,0,0,112,2588,53,16,3,13,2669
LGA10250,210,49,8,0,0,264,98,22,4,0,0,125,69,19,0,0,0,90,117,24,7,3,0,151,186,37,11,0,0,237,485,124,24,5,0,641,587,115,22,0,4,729,850,103,7,0,4,967,382,44,10,0,3,431,270,26,4,0,0,305,158,15,3,0,0,173,152,21,3,0,3,177,3557,594,104,11,24,4293
LGA10300,18,0,0,0,0,13,14,0,0,0,0,14,15,0,0,0,0,19,26,0,0,0,0,26,29,0,0,0,0,29,47,0,0,0,0,50,17,0,0,0,0,17,9,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,14,0,0,0,0,14,191,0,0,0,0,198
LGA10470,185,13,0,0,0,200,85,6,0,0,0,90,81,3,3,0,0,88,169,14,3,0,0,183,250,19,5,3,0,272,806,41,11,3,0,859,961,41,4,0,0,1012,1084,22,4,0,3,1113,459,5,3,0,0,465,260,0,0,0,0,264,125,3,0,0,0,129,169,5,7,0,0,177,4632,165,38,4,7,4854
LGA10550,223,12,0,0,8,243,115,19,0,0,0,136,92,9,4,0,0,111,209,12,6,0,0,229,290,17,3,3,5,322,682,37,17,9,8,749,657,18,9,6,5,688,561,9,0,3,9,578,185,0,0,0,0,192,128,4,0,0,0,142,63,0,0,0,3,69,167,8,3,0,0,172,3363,142,58,28,38,3631
LGA10600,89,0,0,0,0,92,52,3,3,0,0,58,33,0,0,0,0,39,76,0,0,0,0,76,86,0,0,0,0,93,245,3,3,0,0,250,254,5,0,0,0,260,207,4,0,0,8,223,67,3,0,0,0,73,61,0,0,0,0,61,21,0,0,0,0,21,68,0,0,0,0,70,1262,29,5,0,9,1311
LGA10650,75,0,0,0,0,75,42,0,0,4,0,46,38,0,0,0,0,42,81,0,3,0,0,82,86,3,0,0,0,94,177,0,0,0,0,180,117,0,0,0,0,117,95,0,0,0,0,100,16,0,0,0,0,15,21,0,0,0,0,25,28,0,0,0,0,29,53,0,0,0,0,57,831,9,3,8,4,857
LGA10750,1322,245,39,0,5,1611,483,83,14,0,0,579,407,67,11,0,0,483,723,119,23,0,0,870,1031,186,34,3,5,1254,3366,625,158,4,10,4163,4613,1030,236,15,8,5897,8524,1876,222,17,19,10657,5581,1162,74,4,23,6841,5072,876,30,9,10,6004,1981,363,24,3,3,2372,1404,249,29,3,3,1684,34500,6868,897,64,83,42411
LGA10800,48,0,0,0,0,54,36,0,0,0,0,36,39,0,0,0,0,39,50,0,0,0,0,50,80,0,0,0,0,83,112,0,0,3,0,114,52,0,0,0,0,53,51,0,0,0,0,55,16,0,0,0,0,16,10,0,0,0,0,10,16,0,0,0,3,14,41,0,0,0,0,39,554,0,0,3,10,565
LGA10850,58,0,0,0,0,58,18,0,0,0,0,18,28,0,0,0,0,30,44,4,0,0,0,45,73,0,0,0,0,73,179,0,0,0,0,181,164,0,0,0,0,164,151,0,0,0,0,151,70,0,0,0,0,72,55,0,0,0,0,55,35,0,0,0,0,35,48,0,0,0,0,51,910,3,0,3,3,924
LGA10900,524,12,4,0,5,544,261,11,0,0,0,267,220,3,3,0,0,227,369,4,3,0,0,376,472,6,4,0,0,484,1405,20,9,4,0,1435,1867,31,7,3,4,1907,2782,24,6,3,4,2817,1363,7,5,0,3,1377,987,6,0,0,0,994,463,0,3,3,3,477,373,6,3,0,0,379,11087,130,44,10,20,11295
LGA10950,26,0,0,0,0,26,12,0,0,0,0,12,12,0,0,0,0,12,13,0,0,0,0,13,32,0,0,0,0,32,54,0,0,0,0,54,29,0,0,0,0,29,22,0,0,0,0,22,4,0,0,0,0,4,9,0,0,0,0,9,7,0,0,0,0,7,8,0,0,0,0,8,218,0,0,0,0,217
LGA11100,97,23,79,0,0,203,30,15,25,0,0,62,23,0,27,0,0,55,42,12,32,0,0,85,52,27,68,0,0,151,134,54,191,0,0,378,130,48,261,3,0,447,270,100,459,0,0,835,224,98,333,3,0,658,380,232,296,3,5,908,419,127,135,3,4,685,108,39,65,0,0,217,1915,774,1972,16,10,4681
LGA11150,3,0,0,0,0,3,14,0,0,0,0,14,12,0,0,0,0,12,27,0,0,0,0,27,26,0,0,0,0,32,36,0,0,0,0,36,25,0,0,0,0,26,14,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,5,3,0,0,0,0,7,7,0,0,0,0,7,181,0,0,3,5,190
LGA11200,14,0,0,0,0,14,9,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,5,42,0,0,0,0,48
LGA11250,141,6,0,0,0,146,160,0,0,0,0,166,151,0,0,0,0,157,288,3,0,0,0,298,296,3,0,3,0,305,477,0,0,0,0,485,237,3,0,0,0,240,138,0,0,0,0,136,38,0,0,0,0,45,27,0,0,0,0,27,27,0,0,0,0,27,107,0,0,0,0,107,2099,14,0,4,7,2130
LGA11300,111,40,70,0,0,224,18,15,10,0,0,43,21,9,17,0,0,42,29,13,23,0,0,56,44,22,35,0,0,102,110,44,78,0,0,233,90,48,103,0,0,240,188,115,196,0,3,496,135,74,128,0,0,333,247,118,93,0,5,460,314,109,31,7,0,458,97,28,34,0,0,156,1396,638,799,7,11,2843
LGA11350,202,3,6,3,3,223,91,5,0,0,3,103,64,0,4,0,0,68,106,5,5,4,3,120,150,9,4,0,3,168,399,20,18,10,5,447,384,25,10,0,5,428,600,33,14,3,3,652,300,31,7,0,9,346,266,21,4,5,0,293,176,3,4,3,0,184,181,9,7,0,0,199,2918,169,91,28,32,3233
LGA11400,86,0,0,0,0,86,37,0,0,0,0,38,46,0,0,0,0,49,91,0,0,0,0,91,139,0,0,0,0,142,314,0,3,0,0,319,243,0,0,3,4,248,248,0,0,0,3,256,125,0,0,0,0,125,120,0,0,0,0,116,90,0,0,0,0,90,92,0,0,0,0,95,1629,0,5,7,7,1649
LGA11450,360,4,0,0,0,365,114,7,0,0,0,128,104,3,0,0,0,105,181,5,0,0,0,187,281,10,0,0,0,293,885,41,3,0,0,931,1337,68,0,0,0,1410,3186,121,7,3,3,3323,2490,51,5,0,3,2546,1978,19,0,0,3,2000,765,9,0,0,3,771,463,11,0,0,0,475,12139,348,20,6,16,12527
LGA11500,671,65,16,0,4,746,283,34,5,0,0,328,251,43,14,0,0,302,422,73,11,3,0,510,706,99,10,0,0,817,2152,398,61,3,0,2614,3077,509,78,3,3,3679,4776,496,91,3,4,5369,2114,146,23,4,0,2293,1395,63,14,0,4,1476,629,38,12,0,0,677,686,76,7,0,0,777,17167,2053,330,22,24,19590
LGA11520,299,58,199,7,0,566,69,13,34,0,0,112,52,14,45,0,0,107,62,11,75,0,0,146,129,31,104,0,0,262,298,74,319,8,3,701,268,86,366,6,0,727,484,139,906,6,4,1538,369,125,657,12,0,1169,645,244,767,4,3,1662,1331,230,449,4,11,2020,224,38,133,0,0,400,4218,1057,4067,55,19,9428
LGA11570,1171,316,230,3,9,1720,324,82,104,0,0,514,323,84,76,3,0,481,485,134,153,4,0,776,655,191,247,3,0,1099,1920,627,926,13,6,3487,2177,835,1148,14,11,4189,4026,1469,1232,15,18,6757,2821,989,390,11,14,4230,3284,954,299,12,7,4563,1902,404,154,3,11,2472,1152,263,179,6,0,1601,20238,6347,5137,93,81,31896
LGA11600,33,0,0,0,0,33,8,0,0,0,0,10,12,0,0,0,0,12,22,0,0,0,0,22,26,0,0,0,0,26,37,0,0,0,0,38,14,0,0,0,0,14,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,15,0,0,0,0,15,181,0,0,4,0,184
LGA11650,1657,125,75,11,5,1865,716,71,37,4,0,829,584,84,41,4,3,714,1166,110,43,3,4,1331,1633,132,76,8,5,1854,5048,394,220,8,3,5674,7100,457,237,23,10,7837,9633,388,182,25,13,10231,4276,94,86,7,8,4460,2993,88,53,4,8,3138,1512,33,20,4,0,1569,1506,74,51,10,6,1641,37813,2051,1114,117,54,41151
LGA11700,13,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,3,7,0,0,0,0,7,5,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,47,0,0,0,3,53
LGA11720,252,3,3,0,0,264,178,0,0,0,0,178,164,3,0,0,0,166,283,3,0,0,0,289,426,10,0,3,3,436,1439,25,8,3,3,1470,1484,22,0,4,11,1513,1257,11,0,3,6,1276,452,0,0,0,0,453,339,3,0,0,0,341,158,0,0,0,0,164,284,0,0,0,3,289,6714,79,9,9,26,6839
LGA11730,291,8,8,0,0,316,197,4,3,3,0,205,201,3,0,3,0,209,319,3,4,9,0,339,486,4,3,3,0,502,1186,22,18,7,4,1235,991,20,7,7,9,1033,703,11,6,5,3,729,220,0,3,0,0,230,134,6,3,0,0,143,78,0,0,3,3,82,224,3,3,4,0,237,5020,90,60,63,26,5259
LGA11750,26,0,0,0,0,26,10,0,0,0,0,10,10,0,0,0,0,10,21,0,0,0,0,27,52,0,0,0,0,52,92,0,0,0,0,96,65,0,0,0,0,73,58,0,0,0,0,61,14,0,0,0,0,14,19,0,0,0,0,19,20,0,0,0,0,20,17,0,0,0,0,17,403,0,0,7,0,415
LGA11800,363,27,16,0,3,411,182,15,8,0,0,205,168,19,5,0,3,200,283,32,27,3,4,348,420,35,38,0,0,497,1092,121,76,5,3,1303,1432,68,44,3,7,1555,1623,72,33,8,9,1736,595,22,3,0,0,626,361,21,3,0,4,392,183,3,5,0,3,194,254,20,12,0,0,283,6956,451,268,24,43,7751
LGA12000,40,0,0,0,0,43,23,0,0,0,0,23,28,0,0,0,0,28,50,0,0,0,0,50,43,0,0,0,0,43,96,0,0,0,3,105,70,0,0,0,0,70,48,0,0,0,0,48,15,0,0,0,0,15,13,0,0,0,0,13,10,0,0,0,0,12,17,0,0,0,0,17,464,0,0,0,3,463
LGA12150,33,0,0,0,0,36,23,0,0,0,0,23,30,0,0,0,0,30,36,0,0,0,0,36,34,0,0,0,0,33,44,0,0,0,0,50,28,0,0,0,0,33,19,0,0,0,0,19,8,0,0,0,0,8,5,0,0,0,0,5,15,0,0,0,0,15,28,0,0,0,0,28,300,0,0,3,3,304
LGA12350,77,0,0,0,3,80,56,0,0,0,3,61,68,0,0,0,0,74,123,0,3,0,0,128,161,3,0,0,0,165,275,3,3,0,5,291,197,3,0,0,0,200,145,0,0,0,0,146,47,0,0,0,0,47,37,0,0,3,0,39,15,0,0,0,0,15,67,0,0,0,3,72,1267,17,4,3,17,1306
LGA12380,713,173,177,7,3,1066,219,47,48,0,0,327,187,37,48,3,0,272,308,68,112,0,0,491,374,91,153,4,0,625,1206,311,559,14,6,2098,1379,495,769,5,5,2654,2600,996,895,17,15,4525,1712,580,303,14,9,2616,1781,436,153,9,10,2396,958,203,88,4,7,1268,690,135,110,0,4,946,12141,3580,3420,81,64,19278
LGA12700,56,0,0,0,0,56,35,0,0,0,0,35,31,0,0,0,0,31,53,0,0,0,0,56,71,0,0,0,3,75,193,0,0,3,0,196,195,0,0,0,0,199,218,0,0,0,0,217,101,0,0,0,0,102,118,0,0,0,0,118,52,0,0,0,0,52,66,0,0,0,0,67,1190,0,0,10,4,1207
LGA12730,80,0,0,0,0,80,32,0,0,0,0,36,44,0,0,0,0,41,122,3,0,0,0,122,130,0,0,0,0,135,207,0,0,0,0,208,114,0,0,0,0,118,88,0,0,0,0,88,36,0,0,0,0,36,17,0,0,0,0,17,24,0,0,0,0,24,64,0,0,0,0,65,960,3,6,0,9,971
LGA12750,241,8,7,0,4,266,132,8,10,0,0,147,107,3,3,0,0,111,179,4,8,0,0,191,247,7,4,3,0,269,635,17,21,3,8,688,614,23,8,0,5,654,595,9,3,3,4,620,208,3,0,0,0,214,137,0,3,0,0,137,75,0,3,0,0,81,175,3,0,0,3,184,3353,98,73,16,27,3568
LGA12850,798,89,88,6,4,982,308,52,31,0,0,393,231,33,35,3,0,298,408,50,56,4,4,516,559,93,108,3,0,758,1658,271,294,8,3,2224,1860,366,272,11,4,2514,3143,462,132,27,5,3770,1599,174,37,3,5,1819,1457,106,19,9,0,1594,699,51,16,3,0,773,709,83,38,11,0,831,13439,1820,1119,82,27,16488
LGA12870,100,0,0,3,0,100,44,0,3,0,0,54,37,0,0,0,0,41,105,0,3,0,0,114,142,3,4,0,0,149,350,6,3,0,0,361,258,0,0,0,0,262,151,0,0,0,0,153,48,0,0,0,0,50,26,0,0,0,0,29,20,0,0,0,0,19,71,0,0,0,0,74,1368,16,19,3,3,1409
LGA12900,64,0,0,0,0,66,40,0,0,0,0,40,38,0,0,0,0,37,87,0,0,0,0,88,141,0,0,0,0,149,274,0,0,3,3,278,146,0,0,0,0,146,93,0,0,0,0,92,40,0,0,0,0,40,24,0,0,0,0,21,21,0,0,3,0,24,64,0,0,0,0,67,1028,5,3,14,3,1050
LGA12930,637,119,256,3,0,1021,160,28,57,0,0,250,113,15,48,0,0,177,188,32,111,0,0,327,266,59,173,4,0,499,728,189,472,0,3,1391,721,177,662,4,3,1563,1506,332,1067,11,3,2920,1079,264,472,7,0,1820,1650,310,293,4,8,2268,1763,183,141,0,3,2097,495,83,106,0,0,677,9307,1789,3866,30,25,15017
LGA12950,52,0,0,0,0,52,20,0,0,0,0,20,20,0,0,0,0,20,42,0,0,0,0,42,27,0,0,0,0,32,69,0,0,0,3,76,52,0,0,0,0,52,34,0,0,0,0,34,6,0,0,0,0,6,16,0,0,0,0,16,16,0,0,0,0,16,32,0,0,0,0,32,395,0,0,0,3,399
LGA13010,67,0,0,0,0,68,46,0,0,0,0,46,48,0,0,0,0,52,101,0,0,0,0,98,131,0,0,0,0,132,182,0,0,0,3,189,103,0,0,0,0,101,82,0,0,0,0,83,29,0,0,0,0,29,23,0,0,0,0,27,27,0,0,0,0,27,43,0,0,0,0,45,875,3,0,3,13,891
LGA13310,131,5,0,3,0,137,80,10,0,0,0,86,77,3,0,0,0,82,144,8,3,0,0,155,231,4,3,0,0,241,650,23,4,7,3,684,764,23,0,3,0,791,690,8,3,3,3,709,236,6,0,0,0,244,169,0,0,3,0,168,85,0,0,0,0,83,153,3,0,0,0,158,3403,93,19,18,6,3536
LGA13340,112,0,0,0,0,112,60,0,0,0,0,64,51,0,0,0,0,51,115,0,0,0,0,112,135,0,0,0,0,135,262,3,0,0,3,269,202,3,0,0,0,206,156,0,0,0,3,163,65,0,0,3,0,63,39,0,0,0,0,45,30,0,0,0,0,28,74,0,0,0,0,74,1306,3,0,3,13,1326
LGA13450,117,3,0,0,3,117,46,0,0,0,0,53,41,0,3,0,0,44,85,0,3,0,0,91,162,4,7,0,0,177,546,18,12,0,4,576,531,8,8,0,4,547,428,4,3,0,3,433,130,3,0,0,0,131,89,0,0,0,3,87,58,0,0,0,0,56,119,0,3,0,0,121,2335,39,45,3,12,2434
LGA13510,61,0,3,0,0,66,50,0,0,0,0,52,62,0,0,0,0,62,112,0,0,0,0,112,142,0,0,0,0,142,278,3,0,0,0,279,178,0,0,0,0,178,113,3,0,0,0,119,40,0,0,0,0,39,20,0,0,0,0,20,23,0,0,0,0,29,65,0,0,0,3,73,1144,4,3,6,6,1166
LGA13550,87,0,0,0,0,93,23,0,0,0,0,23,40,0,0,0,0,40,68,0,0,0,0,66,112,0,0,0,0,112,260,3,3,0,3,273,234,0,0,0,0,241,213,0,0,0,0,214,98,0,0,0,0,99,67,0,0,0,0,72,36,0,0,0,0,41,81,0,0,0,0,81,1321,8,10,6,9,1347
LGA13660,62,0,0,0,0,58,16,0,0,0,0,19,25,0,0,0,0,31,41,0,0,0,0,42,44,0,0,0,0,49,78,0,0,0,0,81,45,0,0,0,0,45,18,0,0,0,0,21,11,0,0,0,0,11,12,0,0,0,0,12,18,0,0,0,0,18,37,0,0,0,0,36,415,4,0,3,3,423
LGA13800,322,11,0,3,3,338,114,7,3,0,0,125,118,3,0,0,0,118,201,18,8,3,0,229,293,19,3,0,0,319,833,68,4,0,4,911,1105,108,10,0,7,1232,2032,109,11,5,8,2157,1186,28,3,0,5,1230,1102,12,3,0,3,1121,670,7,0,3,5,680,414,20,0,0,3,440,8391,402,49,20,39,8896
LGA13850,15,0,0,0,0,15,11,3,0,0,0,12,16,0,0,0,0,16,36,0,0,0,0,36,34,0,0,0,0,34,51,0,0,0,0,50,26,0,0,0,0,30,13,0,0,0,0,12,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,3,13,0,0,0,0,13,226,3,0,3,6,239
LGA13910,140,4,0,0,0,151,76,7,0,0,0,84,78,3,0,0,3,81,158,3,3,0,0,171,227,3,3,0,0,230,425,6,0,4,0,437,325,0,0,3,0,333,234,0,0,0,0,238,70,0,0,0,0,69,48,0,0,0,0,53,32,0,0,0,0,36,124,0,0,0,0,127,1949,31,14,12,6,2008
LGA14000,902,62,79,0,3,1045,259,24,27,0,0,313,212,13,20,0,4,249,314,20,30,0,0,368,393,32,81,0,4,508,1106,108,225,0,0,1441,1237,146,303,0,0,1685,2392,266,539,3,10,3212,2080,244,317,0,0,2648,3161,235,172,0,0,3568,2664,112,73,5,0,2855,633,41,45,0,3,715,15348,1301,1918,10,26,18600
LGA14100,77,9,3,0,0,89,6,4,3,0,0,19,7,0,4,0,0,13,19,3,0,0,0,26,26,3,4,0,0,30,67,10,18,0,0,91,46,14,21,0,0,78,97,32,25,0,0,160,69,23,17,0,0,114,138,35,32,0,3,207,488,51,18,0,0,559,66,3,6,0,0,81,1112,206,142,0,6,1469
LGA14170,340,390,234,15,4,989,92,105,62,0,0,255,77,78,68,0,0,228,104,153,119,0,0,380,144,186,150,5,3,488,411,528,529,6,3,1484,412,548,696,6,0,1665,762,1033,1246,22,5,3068,629,921,745,5,12,2316,1143,1783,704,21,8,3661,1540,2442,352,20,19,4371,273,288,112,8,0,679,5927,8448,5011,123,59,19565
LGA14200,93,0,0,0,0,97,59,0,0,0,0,66,59,0,0,0,0,65,169,0,0,0,0,177,178,0,0,0,7,186,417,3,0,0,3,431,268,3,0,3,3,273,219,0,0,3,3,222,64,0,0,0,0,64,53,0,0,0,0,53,25,0,0,0,0,25,86,3,0,0,0,92,1703,9,10,11,18,1746
LGA14300,46,0,0,0,0,43,15,0,0,0,0,13,20,0,0,0,0,20,49,0,0,0,0,49,80,0,0,0,0,80,169,4,0,0,0,172,88,0,0,0,0,91,85,0,0,0,0,83,26,0,0,0,0,26,13,0,0,0,0,13,8,0,0,0,0,8,34,0,0,0,0,34,628,4,0,0,4,636
LGA14350,150,4,0,3,3,161,132,3,0,0,0,139,98,4,3,0,0,107,180,7,5,3,0,189,290,3,3,0,4,298,656,3,11,0,7,673,520,0,0,0,5,527,366,3,0,0,7,376,118,0,0,0,3,117,66,0,0,0,0,69,64,0,0,0,3,70,149,0,3,0,0,151,2778,30,31,12,27,2878
LGA14400,121,13,7,0,0,138,45,8,0,0,0,52,32,0,0,0,0,32,70,7,0,0,0,74,90,6,0,0,0,95,225,31,8,0,3,264,228,37,10,3,0,279,458,68,8,0,0,537,305,25,7,0,0,342,295,8,0,0,0,309,151,9,3,0,0,161,94,3,0,0,0,102,2105,227,51,4,3,2391
LGA14500,882,20,109,0,0,1010,137,11,16,0,0,166,131,8,13,0,0,146,147,14,46,0,0,208,197,9,42,0,0,248,612,22,173,0,0,806,598,21,199,0,0,816,1262,44,507,0,0,1813,867,27,374,0,0,1277,2005,51,420,0,0,2484,4541,73,224,3,4,4845,578,15,73,0,0,664,11956,298,2206,6,12,14476
LGA14550,73,0,0,4,0,70,56,0,0,0,0,59,57,0,0,0,0,59,93,0,0,3,0,98,95,0,0,4,0,102,196,0,0,0,0,198,136,0,0,0,0,141,94,0,0,0,0,99,35,0,0,0,0,35,24,0,0,0,0,24,21,0,0,0,0,20,61,0,0,0,0,63,945,3,0,14,7,969
