Date,Emerging Markets I shares MSCI,S&P 500 ,ASX 200,Commodities (ishares s&p gsci commodity indexed trust),All Equity REIT - FTSE Nareit US Real Estate Index Series,Fixed Income (US 10 Year Treasury Bond Yield),Managed Futures,Global Macro,Boujee Capital
1/5/13,37,1631,4927,31,550,2,-0.0172,-0.0031,-0.05
1/6/13,35,1606,4803,31,535,2,-0.015,-0.0177,-0.026
1/7/13,36,1686,5052,33,539,3,-0.0098,-0.0001,0.056
1/8/13,35,1633,5135,34,502,3,-0.0175,-0.0171,-0.017
1/9/13,37,1682,5219,32,516,3,-0.0097,0.0092,0.028
1/10/13,39,1757,5426,32,538,3,0.0121,0.0136,0.104
1/11/13,39,1806,5320,32,510,3,0.0169,0.0135,-0.032
1/12/13,38,1848,5352,32,510,3,0.0057,0.0084,0.002
1/1/14,35,1783,5190,31,527,3,-0.0233,-0.0098,-0.073
1/2/14,36,1859,5405,33,550,3,0.0058,0.0024,0.026
1/3/14,38,1872,5395,33,549,3,-0.0031,-0.0062,0.028
1/4/14,38,1884,5489,33,564,3,0.0042,-0.0046,0.024
1/5/14,39,1924,5493,33,579,2,0.0231,0.0098,-0.011
1/6/14,40,1960,5396,34,583,3,0.0049,0.008,-0.001
1/7/14,41,1931,5633,32,582,3,-0.0097,-0.0029,0.053
1/8/14,42,2003,5626,32,599,2,0.0395,0.0122,0.025
1/9/14,39,1972,5293,30,563,2,0.0193,0.0069,0.019
1/10/14,39,2018,5527,28,613,2,0.0164,-0.0011,0.086
1/11/14,38,2068,5313,25,625,2,0.0561,0.0229,0.009
1/12/14,36,2059,5411,22,630,2,0.0156,0.0014,-0.002
1/1/15,37,1995,5588,20,668,2,0.0432,0.0179,0.048
1/2/15,38,2105,5929,21,646,2,-0.003,0.0096,0.048
1/3/15,38,2068,5892,20,650,2,0.017,0.0107,0.05
1/4/15,40,2086,5790,22,617,2,-0.0317,-0.0134,0.036
1/5/15,39,2107,5777,21,614,2,-0.004,0.0084,-0.025
1/6/15,37,2063,5459,21,585,2,-0.0423,-0.021,-0.05
1/7/15,35,2104,5699,18,614,2,0.0309,0.0264,0.035
1/8/15,32,1972,5207,18,576,2,-0.0188,-0.0165,-0.01
1/9/15,31,1920,5022,17,585,2,0.0117,-0.0058,-0.041
1/10/15,33,2079,5239,17,622,2,-0.012,0.0113,0.087
1/11/15,32,2080,5167,16,619,2,0.0266,0.0119,0.007
1/12/15,30,2044,5296,14,624,2,-0.0135,-0.0155,0.047
1/1/16,29,1940,5006,13,601,2,0.0418,-0.006,-0.066
1/2/16,29,1932,4881,13,597,2,0.0297,0.0013,0.012
1/3/16,33,2060,5083,14,655,2,-0.03,0.0002,0.061
1/4/16,33,2065,5252,15,642,2,-0.0222,-0.0007,0.029
1/5/16,32,2097,5379,15,655,2,-0.0204,-0.005,0.063
1/6/16,33,2099,5233,16,697,1,0.0452,0.0026,-0.042
1/7/16,35,2174,5562,14,723,1,0.0124,0.0066,0.087
1/8/16,35,2171,5433,14,696,2,-0.0312,-0.0073,0.004
1/9/16,36,2168,5436,15,682,2,-0.0118,-0.0056,-0.017
1/10/16,36,2126,5318,15,646,2,-0.026,0.001,-0.033
1/11/16,34,2199,5441,15,629,2,-0.0181,0.0112,-0.028
1/12/16,34,2239,5666,16,653,2,0.0059,0.0186,-0.004
1/1/17,37,2279,5621,15,654,2,-0.0113,0.0021,0.013
1/2/17,37,2364,5712,15,679,2,0.0224,0.0076,0.056
1/3/17,39,2363,5865,15,664,2,-0.0101,0.0012,0.014
1/4/17,39,2384,5924,14,666,2,-0.0013,-0.0043,0.007
1/5/17,40,2412,5725,14,663,2,0.0004,-0.0006,0.036
1/6/17,41,2423,5722,14,672,2,-0.0343,-0.0023,0.006
1/7/17,43,2470,5721,15,680,2,0.0076,0.008,0.077
1/8/17,44,2472,5715,14,683,2,0.0209,0.0018,0.034
1/9/17,44,2519,5682,15,673,2,-0.0209,0.008,0.035
1/10/17,46,2575,5909,15,673,2,0.0435,0.0136,0.008
1/11/17,45,2648,5970,16,689,2,0.0031,-0.0024,-0.042
1/12/17,46,2674,6065,16,683,2,0.007,0.0063,0.03
1/1/18,51,2824,6038,17,662,3,0.039,0.03,0.097
1/2/18,48,2714,6016,16,612,3,-0.0634,-0.0346,-0.065